date,day,campus,weather,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-01-21,sunday,kuzey,5.88,99,lunch,sef'in corbasi,tavuk schnitzel,zy. bruksel lahanasi,"soslu makarna, nohutlu pirinc pilavi","salata, meyve, portakalli gazoz"
2024-01-22,monday,kuzey,5.5,330,lunch,suzme mercimek corba,orman kebabi,sebze graten,bulgur pilavi,"limonata, meyve, mercimek kofte"
2024-01-23,tuesday,kuzey,7.5,347,lunch,antep corba,icli kofte,mucver,"firin makarna, zy.orbit fasulye","soda, mevsim salata, ayran"
2024-01-24,wednesday,kuzey,6.26,232,lunch,tarhana corba,etli turlu,sebze turlu,meyhane pilavi,"salata, meyve, muzlu puding"
2024-01-25,thursday,kuzey,8.78,200,lunch,mahluta corba,etli nohut,etsiz nohut,"sehriyeli pirinc pilavi, bulgur pilavi","tursu, salata, meyve"
2024-01-26,friday,kuzey,8.11,192,lunch,safak corba,etli bezelye,etsiz bezelye,mercimekli bulgur pilavi,"ayran, salata, meyve"
2024-01-27,saturday,kuzey,8.06,62,lunch,antep corba,izmir kofte,zy. bruksel lahanasi,"misirli eriste, garniturlu pirinc pilavi","ayran, meyve, salata"
2024-01-28,sunday,kuzey,5.6,52,lunch,alaca corba,kiymali karnabahar,karnabahar graten,soslu makarna,"yogurt, gazoz, salata"
2024-01-29,monday,kuzey,4.38,251,lunch,tarhana corba,tas kebabi,falafel,"melek pilavi, bulgur pilavi","soda, salata, revani"
2024-01-30,tuesday,kuzey,5.36,189,lunch,yayla corba,etli taze fasulye,zy.taze fasulye,"bulgur pilavi, sehriyeli pirinc pilavi","salata, meyve, cilekli puding"
2024-01-31,wednesday,kuzey,6.53,377,lunch,mercimek corba,iskender kebap,mucver,soslu makarna,"mor salata, meyve, portakalli gazoz"
2024-02-01,thursday,kuzey,7.48,270,lunch,kafkas corba,firin hindi,mantar sote,"ic pilavi, cevizli eriste","gazoz, havuc borani, salata"
2024-02-02,friday,kuzey,8.08,326,lunch,ezogelin corba,pideli kofte,harput kofte,"arpa sehriyeli pirinc pilavi, mercimekli bulgur pilavi","soda, sekerpare, meyve"
2024-02-03,saturday,kuzey,8.78,66,lunch,sehriye corba,bahcivan kebabi,bugdayli pazi,kuskus,"yogurt, meyve, soda"
2024-02-04,sunday,kuzey,8.8,87,lunch,gendime corba,adana kofte,zy.brokoli,soslu makarna,"meyve, salata, soda"
2024-02-05,monday,kuzey,13.88,227,lunch,alaca corba,etli taze fasulye,etsiz taze fasulye,bulgur pilavi,"kabak tatlisi, mevsim salata, soda"
2024-02-06,tuesday,kuzey,16.03,309,lunch,mercimek corba,etli biber dolma,zy.dolma,"gul boregi, soslu makarna","salata, limonata, meyve"
2024-02-07,wednesday,kuzey,16.31,435,lunch,domates corba,balik pane,mucver,"zy. orbit fasulye, soslu makarna","helva, roka salatasi, meyve suyu"
2024-02-08,thursday,kuzey,17.28,424,lunch,andaloz corba,firin kofte,pirasa yemegi,peynirli makarna,"muzlu puding, yesil salata, soda"
2024-02-09,friday,kuzey,16.11,415,lunch,sehriye corba,arnavut cigeri,falafel,bulgur pilavi,"ayran, cevizli baklava, mevsim salata"
2024-02-10,saturday,kuzey,16.7,1,lunch,sifa corba,etli barbunya,zy.barbunya,bulgur pilavi,"yogurt, mevsim salata, gazoz"
2024-02-11,sunday,kuzey,17.44,1,lunch,elvankiz corba,tas kebabi,zy.kereviz,soslu makarna,"pembe sultan, meyve, ayran"
2024-02-12,monday,kuzey,16.38,1369,lunch,kabak corba,izgara tavuk,zy. bruksel lahanasi,"peynirli makarna, sehriyeli pirinc pilavi","ayran, mevsim salata, meyve"
2024-02-13,tuesday,kuzey,14.36,1964,lunch,mercimek corba,kabak begendili kebap,zy.brokoli,bulgur pilavi,"sutlac, meyve, mevsim salata"
2024-02-14,wednesday,kuzey,9.08,1933,lunch,mercimek corba,hasanpasa kofte,falafel,bulgur pilavi,"supangle, portakalli gazoz, mevsim salata"
2024-02-15,thursday,kuzey,6.58,2157,lunch,gendime corba,cin usulu  tavuk sote,sebze buketi,mercimekli bulgur pilavi,"meyve, mevsim salata, gazoz"
2024-02-16,friday,kuzey,7.33,1144,lunch,domates corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, mevsim salata, ayran"
2024-02-17,saturday,kuzey,7.58,345,lunch,tarhana corba,bahcivan kebabi,karnabahar yemegi,kuskus,"mevsim salata, meyve, supangle"
2024-02-18,sunday,kuzey,7.23,250,lunch,kafkas corba,etli taze fasulye,etsiz taze fasulye,"sehriyeli pirinc pilavi, bulgur pilavi","mevsim salata, meyve, gazoz"
2024-02-19,monday,kuzey,8.14,2248,lunch,alaca corba,meksika usulu tavuk,zy.brokoli,zerdecalli makarna,"fanta, meyve, mor salata"
2024-02-20,tuesday,kuzey,9.28,1739,lunch,antep corba,etli kuru fasulye,gemici usulu kuru fasulye,"sehriyeli pirinc pilavi, bulgur pilavi","tursu, ayran, mevsim salata"
2024-02-21,wednesday,kuzey,10.68,2289,lunch,suzme mercimek corba,izgara tavuk,mucver,soslu makarna,"supangle, ayran, mevsim salata"
2024-02-22,thursday,kuzey,11.78,1619,lunch,tarhana corba,etli turlu,sebze turlu,bulgur pilavi,"yogurt, mevsim salata, limonata"
2024-02-23,friday,kuzey,15.63,1811,lunch,ezogelin corba,et doner,kereviz yemegi,sogan halkasi,"ayran, mevsim salata, meyve"
2024-02-24,saturday,kuzey,17.48,498,lunch,kafkas corba,soslu mitite kofte,sebze graten,soslu makarna,"ayran, mevsim salata, meyve"
2024-02-25,sunday,kuzey,18.53,347,lunch,antep corba,etli bezelye,bezelye yemegi,bulgur pilavi,"yogurt, limonata, mevsim salata"
2024-02-26,monday,kuzey,14.86,2105,lunch,elvankiz corba,tavuklu mantar sote,mantar sote,"misirli pirinc pilavi, bulgur pilavi","kazandibi, soda, mevsim salata"
2024-02-27,tuesday,kuzey,12.68,1712,lunch,gendime corba,etli bezelye,bezelye yemegi,"sehriyeli pirinc pilavi, bulgur pilavi","yogurt, mevsim salata, fanta"
2024-02-28,wednesday,kuzey,13.03,2323,lunch,krutonlu domates corba,tavuk doner,falafel,soslu spagetti,"sekerpare, ayran, mevsim salata"
2024-02-29,thursday,kuzey,15.61,1985,lunch,tarhana corba,izmir kofte,zy.brokoli,soslu makarna,"limonata, coleslaw salata, meyve"
2024-03-01,friday,kuzey,16.75,1610,lunch,ezogelin corba,tavuklu bofstraganof,mantar sote,soslu makarna,"gazoz, profiterol, yesil salata"
2024-03-02,saturday,kuzey,14.16,476,lunch,domates corba,ciftlik kofte,sebze sote,napoliten soslu makarna,"fanta, meyve, tulumba tatlisi"
2024-03-03,sunday,kuzey,11.16,397,lunch,yayla corba,bahcivan kebabi,bezelye yemegi,bulgur pilavi,"yogurt, mevsim salata, limonata"
2024-03-04,monday,kuzey,15.48,1800,lunch,kis corbasi,ankara tava,mucver,"zy.taze fasulye, zy.barbunya","meyve, salata, gazoz"
2024-03-05,tuesday,kuzey,12.38,1714,lunch,ezogelin corba,etli guvec,sebze sote,bulgur pilavi,"cacik, meyve, soda"
2024-03-06,wednesday,kuzey,9.01,2147,lunch,mantar corba,kibrit kebabi,zy.kereviz,bulgur pilavi,"salata, meyve, gazoz"
2024-03-07,thursday,kuzey,11.86,2228,lunch,mercimek corba,et doner,zy.enginar,bulgur pilavi,"salata, ayran, meyve"
2024-03-08,friday,kuzey,6.98,1333,lunch,domates corba,eksili kofte,karnibahar yemegi,"soslu makarna, su boregi","komposto, mevsim salata, meyve"
2024-03-09,saturday,kuzey,8.7,400,lunch,yayla corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, cevizli baklava, yogurt"
2024-03-10,sunday,kuzey,12.36,275,lunch,,kiymali karnabahar,karnabahar graten,kuskus,"meyve, kadayifli muhallebi, mevsim salata"
2024-03-11,monday,kuzey,17.45,1584,lunch,suzme mercimek corba,tavuk izgara,patatesli mantar graten,"soslu makarna, misirli pirinc pilavi","soda, roka+turp salata, meyve"
2024-03-12,tuesday,kuzey,16.08,982,lunch,saray corba,etli taze fasulye,zy. taze fasulye,bulgur pilavi,"sutlac, mevsim salata, komposto"
2024-03-13,wednesday,kuzey,13.55,1027,lunch,cennet corba,kiymali ispanak,ispanak yemegi,"patatesli gul boregi, soslu spagetti","supangle, meyve, mevsim salata"
2024-03-14,thursday,kuzey,14.43,967,lunch,tarhana corba,etli barbunya,sicak barbunya,meyhane pilavi,"tursu, mevsim salata, gazoz"
2024-03-15,friday,kuzey,9.86,933,lunch,sehriye corba,ciftlik kebabi,mucver,"mercimekli bulgur pilavi, zerdecalli pirinc pilavi","yogurt, meyve, soda"
2024-03-16,saturday,kuzey,11.23,238,lunch,ezogelin corba,kiymali yesil mercimek,yesil mercimek yemegi,"su boregi, eriste","meyve, mevsim salata, meyve suyu"
2024-03-17,sunday,kuzey,12.26,282,lunch,mahluta corba,karisik musakka,nohutlu kabak,bulgur pilavi,"cacik, mor salata, baklava"
2024-03-18,monday,kuzey,15.26,1063,lunch,mercimek corba,sucuklu kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, meyve, ayran"
2024-03-19,tuesday,kuzey,14.61,1201,lunch,sehriye corba,etli turlu,sebze turlu,kuskus,"ayran, cilekli puding, mevsim salata"
2024-03-20,wednesday,kuzey,6.7,1720,lunch,mantar corba,ispanakli tavuk sarma,saksuka,"bolonez soslu makarna, garniturlu pirinc pilavi","limonata, mozaik pasta, salata"
2024-03-21,thursday,kuzey,10.53,1231,lunch,antep corba,etli manti,vegan manti,"saksuka, zy.barbunya","fanta, kisir, meyve"
2024-03-22,friday,kuzey,8.7,1161,lunch,krutonlu domates corba,tavuk kok kanat,yesil mercimek yemegi,"arpa sehriye pilavi, melek pilavi","piyaz, soda, meyve"
2024-03-23,saturday,kuzey,11.88,558,lunch,tutmac corba,pizza,mucver,"soslu spagetti, zy.orbit fasulye","gazoz, mevsim salata, trilece"
2024-03-24,sunday,kuzey,14.83,420,lunch,cennet corba,eksili kofte,mantar sote,"bulgur pilavi, melek pilavi","ayran, yesil salata, kazandibi"
2024-03-25,monday,kuzey,8.24,1114,lunch,yayla corba,etli bezelye,bezelye yemegi,"bulgur pilavi, misirli pirinc pilavi","meyve, mevsim salata, limonata"
2024-03-26,tuesday,kuzey,13.48,1419,lunch,domates corba,misket kofte,zy.enginar,soslu makarna,"turp salata, meyve, ayran"
2024-03-27,wednesday,kuzey,21.5,1773,lunch,domates corba,pilic portekiz,falafel,"garniturlu pirinc pilavi, kori soslu makarna","zerde, ayran, mercimek kofte"
2024-03-28,thursday,kuzey,19.7,1024,lunch,sifa corba,kiymali yesil mercimek,yesil mercimek yemegi,"gul boregi, soslu makarna","meyve, mevsim salata, mozaik pasta"
2024-03-29,friday,kuzey,22.19,1114,lunch,koy corbasi,kibrit kebabi,zy. bruksel lahanasi,bulgur pilavi,"mevsim salata, cevizli kadayif, soda"
2024-03-30,saturday,kuzey,25.31,348,lunch,mantar corba,izmir kofte,harput kofte,soslu spagetti,"ayran, mevsim salata, meyve"
2024-03-31,sunday,kuzey,23.2,340,lunch,tarhana corba,etli patates oturtma,patates yemegi,peynirli makarna,"meyve suyu, mevsim salata, hosmerim"
2024-04-01,monday,kuzey,23.77,959,lunch,mercimek corba,sucuklu kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, meyve, soda"
2024-04-02,tuesday,kuzey,25.06,1532,lunch,ezogelin corba,izmir kofte,harput kofte,"firin makarna, zerdecalli pirinc pilavi","coleslaw salata, meyve, soda"
2024-04-03,wednesday,kuzey,18.56,1645,lunch,mercimek corba,tavuk doner,zy. orbit fasulye,bulgur pilavi,"ayran, mevsim salata, meyve"
2024-04-04,thursday,kuzey,18.08,1311,lunch,domates corba,eksili kofte,falafel,"bulgur pilavi, su boregi","salata, meyve, gazoz"
2024-04-05,friday,kuzey,20.19,796,lunch,tarhana corba,etli mantar sote,sebzeli mantar sote,soslu makarna,"meyve, salata, mutebbel"
2024-04-06,saturday,kuzey,19.9,129,lunch,sehriye corba,kiymali yesil mercimek,yesil mercimek yemegi,"soslu spagetti, su boregi","kazandibi, meyve, salata"
2024-04-07,sunday,kuzey,15.3,110,lunch,tarhana corba,ciftlik kebabi,sebze buketi,"bulgur pilavi, melek pilavi","meyve suyu, mercimek kofte, cevizli kadayif"
2024-04-08,monday,kuzey,15.55,201,lunch,krutonlu domates corba,firin tavuk but,zy.barbunya,"gokkusagi pilavi, bulgur pilavi","ayran, mevsim salata, peynir tatlisi"
2024-04-09,tuesday,kuzey,16.95,108,lunch,ezogelin corba,et doner,mucver,"misirli pirinc pilavi, bulgur pilavi","fanta, meyve, amerikan salata"
2024-04-10,wednesday,kuzey,16.45,79,lunch,antep corba,garniturlu tavuk sarma,bezelye yemegi,"melek pilavi, bulgur pilavi","mevsim salata, fanta, meyve"
2024-04-11,thursday,kuzey,18.36,52,lunch,mercimek corba,kiymali ispanak,ispanak yemegi,"gul boregi, soslu spagetti","kadayifli muhallebi, meyve, gazoz"
2024-04-12,friday,kuzey,19.31,160,lunch,sebze corba,pizza,saksuka,"sogan halkasi, zy.enginar","fanta, meyve, mercimek kofte"
2024-04-13,saturday,kuzey,19.25,222,lunch,krutonlu domates corba,soslu tavuk biftek,zy. bruksel lahanasi,"firin makarna, nohutlu pirinc pilavi","meyve, mevsim salata, ayran"
2024-04-14,sunday,kuzey,23.31,257,lunch,ezogelin corba,tavuklu sebze guvec,sebze guvec,"kuskus, bulgur pilavi","cacik, meyve, limonata"
2024-04-15,monday,kuzey,24.19,1456,lunch,yayla corba,etli nohut,etsiz nohut,bulgur pilavi,"meyve, limonata, damla sakizli muhallebi"
2024-04-16,tuesday,kuzey,26.73,1857,lunch,mantar corba,firin kofte,bulgur kofte,zy.orbit fasulye,"komposto, mevsim salata, meyve"
2024-04-17,wednesday,kuzey,25.88,1912,lunch,sehriye corba,pureli tas kebabi,sebze buketi,bulgur pilavi,"ayran, kazandibi, salata"
2024-04-18,thursday,kuzey,15.58,1234,lunch,koylu corba,etli taze fasulye,etsiz taze fasulye,"misirli pirinc pilavi, bulgur pilavi","tulumba tatlisi, soda, meyve"
2024-04-19,friday,kuzey,13.88,1345,lunch,domates corba,eksili kofte,zy. orbit fasulye,"bulgur pilavi, boncuk makarna","meyve, soda, mevsim salata"
2024-04-20,saturday,kuzey,13.68,478,lunch,ezogelin corba,elbasan tava,zy. bruksel lahanasi,"havuclu pirinc pilavi, eriste","mevsim salata, meyve, supangle"
2024-04-21,sunday,kuzey,18.75,643,lunch,suzme mercimek corba,pilic emense,patates graten,firin makarna,"mevsim salata, meyve, sutlac"
2024-04-22,monday,kuzey,20.36,1827,lunch,antep corba,firin kofte,falafel,bulgur pilavi,"havuc borani, mevsim salata, soda"
2024-04-23,tuesday,kuzey,19.11,657,lunch,alaca corba,arnavut cigeri,mucver,kuskus makarna,"piyaz, fanta, meyve"
2024-04-24,wednesday,kuzey,25.9,2200,lunch,yayla corba,tavuk but kizartma,zy.enginar,"sehriyeli pirinc pilavi, soslu makarna","ayran, cevizli kadayif, meyve"
2024-04-25,thursday,kuzey,24.05,1784,lunch,mantar corba,ciftlik kofte,zy. kereviz,soslu makarna,"cacik, meyve, limonata"
2024-04-26,friday,kuzey,17.78,1692,lunch,mercimek corba,cordon bleu,falafel,"eriste, cig kofte","meyve, mevsim salata, soda"
2024-04-27,saturday,kuzey,16.08,348,lunch,tarhana corba,kiymali yesil mercimek,yesil mercimek,"su boregi, soslu makarna","kazandibi, meyve, mevsim salata"
2024-04-28,sunday,kuzey,16.45,426,lunch,mahluta corba,pureli davutpasa kofte,karnabahar yemegi,"soslu makarna, arpa sehriye pilavi","limonata, mevsim salata, meyve"
2024-04-29,monday,kuzey,15.28,1798,lunch,mercimek corba,tavuk baget haslama,patates yemegi,bulgur pilavi,"gazoz, meyve, mevsim salata"
2024-04-30,tuesday,kuzey,15.53,1326,lunch,koylu corba,etli barbunya,zy.barbunya,"melek pilavi, bulgur pilavi","tursu, meyve, tulumba tatlisi"
2024-05-01,wednesday,kuzey,14.8,794,lunch,mercimek corba,pilic special but,saksuka,"sehriyeli pirinc pilavi, soslu makarna","mor salata, ayran, cevizli kadayif"
2024-05-02,thursday,kuzey,16.31,1769,lunch,sehriye corba,pureli rosto kofte,zy.brokoli,"soslu makarna, melek pilavi","limonata, mevsim salata, meyve"
2024-05-03,friday,kuzey,19.12,1604,lunch,domates corba,pilic emense,harput kofte,soslu spagetti,"islak kek, meyve, kirmizi pancar salata"
2024-05-04,saturday,kuzey,15.68,434,lunch,koy corbasi,izmir kofte,sebze sote,eriste,"meyve, gazoz, salata"
2024-05-05,sunday,kuzey,15.45,518,lunch,tarhana corba,tavuk haslama,zy.barbunya,"melek pilavi, bulgur pilavi","soda, salata, meyve"
2024-05-06,monday,kuzey,18.28,1601,lunch,toyga corba,kabak begendili kebap,kabak kalye,eriste,"meyve, salata, gazoz"
2024-05-07,tuesday,kuzey,21.81,1623,lunch,tarhana corba,orman kebabi,bezelye yemegi,bulgur pilavi,"sutlac, meyve, salata"
2024-05-08,wednesday,kuzey,23.55,2181,lunch,suzme mercimek corba,meksika soslu tavuk,harput kofte,"sebzeli pirinc pilavi, penne makarna","humus, kola, mor dunya"
2024-05-09,thursday,kuzey,17.36,2011,lunch,ezogelin corba,et doner,imambayildi,bulgur pilavi,"meyve, fanta, mevsim salata"
2024-05-10,friday,kuzey,16.28,1197,lunch,antep corba,hasanpasa kofte,zy.bamya,bulgur pilavi,"limonata, meyve, mevsim salata"
2024-05-11,saturday,kuzey,15.98,551,lunch,mercimek corba,cordon bleu,sebze buketi,"su boregi, mantar soslu makarna","mevsim salata, kola, meyve"
2024-05-12,sunday,kuzey,20.11,351,lunch,sebze corba,etli bezelye,bezelye yemegi,bulgur pilavi,"yogurt, meyve, kibris tatli, vegan tatli"
2024-05-13,monday,kuzey,14.11,1542,lunch,krutonlu domates corba,nohutlu misket kofte,zy.yaprak sarma,"melek pilavi, bulgur pilavi","meyve, mevsim salata, gazoz"
2024-05-14,tuesday,kuzey,16.78,1548,lunch,ezogelin corba,patlican oturtma,patlican tava,bulgur pilavi,"cacik, meyve, kazandibi+ vegan tatli"
2024-05-15,wednesday,kuzey,16.98,2132,lunch,kafkas corba,tavuk izgara,taze fasulye,"garniturlu pirinc pilavi, soslu spagetti","cig kofte, ayran, meyve"
2024-05-16,thursday,kuzey,16.9,1578,lunch,mantar corba,macar gulas,patates graten,bulgur pilavi,"tulumba tatlisi, meyve, limonata"
2024-05-17,friday,kuzey,18.7,1551,lunch,krutonlu mercimek corba,meksika soslu tavuk,falafel,"misirli pirinc pilavi, meyhane pilavi","soda, mevsim salata, meyve"
2024-05-18,saturday,kuzey,19.56,657,lunch,domates corba,pizza,mucver,"sogan halkasi, zy. orbit fasulye","kola, meyve, krem sokola"
2024-05-19,sunday,kuzey,16.75,583,lunch,kafkas corba,tavuk haslama,sebze buketi,"bulgur pilavi, melek pilavi","ayran, mevsim salata, kemalpasa, vegan tatli"
2024-05-20,monday,kuzey,18.58,1403,lunch,ezogelin corba,mantar soslu tavuk sinitzel,zy.mantar,"soslu spagetti, melek pilavi","kabak tarator, meyve, gazoz"
2024-05-21,tuesday,kuzey,19.2,1621,lunch,suzme mercimek corba,pilic topkapi,mucver,"zy. orbit fasulye, sogan halkasi","soda, meyve, mevsim salata"
2024-05-22,wednesday,kuzey,20.9,2007,lunch,cerkez corba,tavuk doner,mantar sote,"napoliten soslu makarna, garniturlu pirinc pilavi","mercimek kofte, ayran, meyve"
2024-05-23,thursday,kuzey,18.45,1263,lunch,suzme mercimek corba,etli patlican dolma,zy. patlican dolma,"su boregi, makarna","mor lahana salatasi, meyve, kazandibi"
2024-05-24,friday,kuzey,19.9,891,lunch,koylu corba,etli taze fasulye,zy. taze fasulye,"soslu makarna, zerdecalli pirinc pilavi","yogurt, meyve, komposto"
2024-05-25,saturday,kuzey,20.69,983,lunch,yayla corba,pideli kofte,zy.brokoli,"zerdecalli pirinc pilavi, arpa sehriye pilavi","ayran, meyve, soda"
2024-05-26,sunday,kuzey,19.38,492,lunch,antep corba,bahcivan kebabi,zy.taze fasulye,"bulgur pilavi, pirinc pilavi","yogurt, mevsim salata, soda"
2024-05-27,monday,kuzey,18.19,1533,lunch,ezogelin corba,bofstrogonof,mantar yemegi,"bulgur pilavi, pirinc pilavi","gazoz, meyve, mevsim salata"
2024-05-28,tuesday,kuzey,20.11,1056,lunch,mahluta corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","mevsim salata, tursu, soda"
2024-05-29,wednesday,kuzey,24.38,1678,lunch,antep corba,mantar soslu tavuk biftek,karnabahar graten,"nohutlu pirinc pilavi, bulgur pilavi","limonata, cig kofte, cevizli kadayif"
2024-05-30,thursday,kuzey,26.62,1488,lunch,tutmac corba,ispanakli tavuk sarma,falafel,"soslu makarna, melek pilavi","ayran, mevsim salata, kisir"
2024-05-31,friday,kuzey,27.69,1222,lunch,brokoli corba,izmir kofte,zy.bamya,"soslu makarna, pirinc pilavi","ayran, mevsim salata, meyve"
2024-06-01,saturday,kuzey,29.1,670,lunch,suzme mercimek corba,etli kuru fasulye,etsiz kuru fasulye,"pirinc pilavi, bulgur pilavi","tursu, sutlac, soda"
2024-06-02,sunday,kuzey,32.94,347,lunch,safak corba,kiymali ispanak,ispanak yemegi,"gul boregi, spagetti makarna","supangle, meyve, limonata"
2024-06-03,monday,kuzey,31.48,1145,lunch,sebze corba,tas kebabi,yesil mercimek yemegi,"arpa sehriyeli pirinc pilavi, bulgur pilavi","komposto, meyve, misirli salata"
2024-06-04,tuesday,kuzey,32.84,859,lunch,antep corba,etli bezelye,bezelye yemegi,"domatesli arpa sehriye pilavi, melek pilavi","baklava, limonata, salata"
2024-06-05,wednesday,kuzey,28.19,1397,lunch,suzme mercimek corba,tavuk sac kavurma,bugdayli semizotu yemegi,"nohutlu pirinc pilavi, penne makarna","fanta, trilece, coban salata"
2024-06-06,thursday,kuzey,26.28,526,lunch,sehriye corba,etli nohut,nohut yemegi,"melek pilavi, pirinc pilavi","tursu, limonata, cevizli kadayif"
2024-06-07,friday,kuzey,26.38,553,lunch,toyga corba,etli guvec,sebze guvec,"soslu makarna, bulgur pilavi","sutlac, meyve, salata"
2024-06-08,saturday,kuzey,25.94,277,lunch,alaca corba,pideli kofte,yesil mercimek,"spagetti makarna, pirinc pilavi","semizotu salata, meyve, meyveli soda"
2024-06-09,sunday,kuzey,26.69,178,lunch,kafkas corba,firin baget,harput kofte,"eriste, garniturlu pirinc pilavi","coban salata, meyve, ayran"
2024-06-10,monday,kuzey,30.66,398,lunch,koylu corba,macar gulas,nohutlu kabak yemegi,"bulgur pilavi, pirinc pilavi","meyveli soda, salata, meyve"
2024-06-11,tuesday,kuzey,35.44,353,lunch,safak corba,kuru kofte,saksuka,"peynirli makarna, pirinc pilavi","meyve, salata, soda"
2024-06-12,wednesday,kuzey,31.48,385,lunch,cesmi nigar corba,kori soslu pilic,zy. patlican dolma,"nohutlu pirinc pilavi, domates soslu makarna","magnolia, coban salata, meyve"
2024-06-13,thursday,kuzey,33.6,218,lunch,tarhana corba,sucuklu kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, melek pilavi","tursu, ayran, krem sokola"
2024-06-14,friday,kuzey,25.36,197,lunch,krotonlu mercimek corba,etli patlican dolma,zy.patlican dolma,"soslu makarna, gul boregi","meyve, misirli salata, soda"
2024-06-15,saturday,kuzey,24.36,57,lunch,soguk ayranasi corba,islim kofte,harput kofte,"misirli pirinc pilavi, soslu makarna","kola, sutlac, salata"
2024-06-16,sunday,kuzey,26.48,42,lunch,domates corba,hunkar begendi,dovmec,"melek pilavi, domatesli bulgur pilavi","yogurt, dondurma, salata"
2024-06-17,monday,kuzey,28.16,53,lunch,ezogelin corba,izgara tavuk,ispanak graten,"sark pilavi, nohutlu pirinc pilavi","ayran, coban salata, meyve"
2024-06-18,tuesday,kuzey,27.31,32,lunch,tavuk suyu corba,etli turlu,sebze sote,"pirinc pilavi, eriste","semizotu salata, yogurt, meyve"
2024-06-19,wednesday,kuzey,26.78,51,lunch,sefim corba,kekikli pilic kavurma,falafel,"misirli pirinc pilavi, makarna","meyveli soda, coban salata, tavuk gogsu"
2024-06-20,thursday,kuzey,27.44,51,lunch,mantar corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","tursu, meyve, mozaik pasta"
