date,day,campus,weather,count,meal,soup,main_dish,vegetarian,side_dishes,dessert,day_of_week,week_of_month,month,normalized_count,density,status
2024-02-08,thursday,5,17.28,424,1,2,35,42,102,217,3,1,1,0.1825226000860955,Low,0
2024-02-09,friday,5,16.11,415,1,37,3,18,7,2,4,1,1,0.1786482996125699,Low,0
2024-02-10,saturday,5,16.7,1,1,32,18,66,7,313,5,1,1,0.0004304778303917,Very Low,0
2024-02-11,sunday,5,17.44,1,1,14,101,72,125,219,6,1,1,0.0004304778303917,Very Low,0
2024-02-12,monday,5,16.38,1369,1,17,47,62,104,13,0,2,1,0.589324149806285,High,5
2024-02-13,tuesday,5,14.36,1964,1,29,50,67,7,270,1,2,1,0.8454584588893672,Very High,5
2024-02-14,wednesday,5,9.08,1933,1,29,41,18,7,267,2,2,1,0.8321136461472234,Very High,5
2024-02-15,thursday,5,6.58,2157,1,16,10,44,68,183,3,2,1,0.928540680154972,Very High,5
2024-02-16,friday,5,7.33,1144,1,12,27,14,7,293,4,2,1,0.4924666379681446,High,5
2024-02-17,saturday,5,7.58,345,1,42,4,26,57,154,5,2,1,0.1485148514851485,Low,4
2024-02-18,sunday,5,7.23,250,1,18,30,17,116,150,6,2,1,0.1076194575979337,Low,4
2024-02-19,monday,5,8.14,2248,1,0,70,67,166,66,0,3,1,0.96771416272062,Very High,5
2024-02-20,tuesday,5,9.28,1739,1,3,24,19,116,286,1,3,1,0.7486009470512268,Very High,5
2024-02-21,wednesday,5,10.68,2289,1,41,47,31,125,263,2,3,1,0.9853637537666812,Very High,5
2024-02-22,thursday,5,11.78,1619,1,42,31,48,7,315,3,3,1,0.6969436074042187,Very High,5
2024-02-23,friday,5,15.63,1811,1,15,16,27,121,13,4,3,1,0.7795953508394318,Very High,5
2024-02-24,saturday,5,17.48,498,1,18,97,45,125,13,5,3,1,0.2143779595350839,Low,4
2024-02-25,sunday,5,18.53,347,1,3,19,1,7,310,6,3,1,0.149375807145932,Low,4
2024-02-26,monday,5,14.86,2105,1,14,117,29,77,108,0,4,1,0.9061558329746018,Very High,5
2024-02-27,tuesday,5,12.68,1712,1,16,19,1,116,312,1,4,1,0.7369780456306501,Very High,5
2024-02-28,wednesday,5,13.03,2323,1,24,105,18,142,243,2,4,1,1.0,Very High,5
2024-02-29,thursday,5,15.61,1985,1,42,48,67,125,122,3,4,1,0.8544984933275936,Very High,5
2024-03-01,friday,5,16.75,1610,1,15,116,29,125,79,4,0,2,0.693069306930693,Very High,5
2024-03-02,saturday,5,14.16,476,1,12,9,47,85,68,5,0,2,0.2049074472664658,Low,4
2024-03-03,sunday,5,11.16,397,1,47,4,1,7,315,6,0,2,0.1708996986655187,Low,4
2024-03-04,monday,5,15.48,1800,1,19,2,31,185,193,0,1,2,0.7748600947051227,Very High,5
2024-03-05,tuesday,5,12.38,1714,1,15,21,47,7,38,1,1,2,0.7378390012914335,Very High,5
2024-03-06,wednesday,5,9.01,2147,1,27,56,72,7,235,2,1,2,0.9242359018510546,Very High,5
2024-03-07,thursday,5,11.86,2228,1,29,16,69,7,229,3,1,2,0.9591046061127853,Very High,5
2024-03-08,friday,5,6.98,1333,1,12,14,26,138,119,4,1,2,0.5738269479121825,High,5
2024-03-09,saturday,5,8.7,400,1,47,27,14,7,289,5,1,2,0.1721911321566939,Low,4
2024-03-10,sunday,5,12.36,275,1,49,60,25,57,178,6,1,2,0.118381403357727,Low,4
2024-03-11,monday,5,17.45,1584,1,41,108,39,133,257,0,2,2,0.681876883340508,Very High,5
2024-03-12,tuesday,5,16.08,982,1,33,30,76,7,269,1,2,2,0.4227292294446836,Medium,5
2024-03-13,wednesday,5,13.55,1027,1,9,58,23,96,266,2,2,2,0.4421007318123117,Medium,5
2024-03-14,thursday,5,14.43,967,1,42,18,53,72,294,3,2,2,0.4162720619888075,Medium,5
2024-03-15,friday,5,9.86,933,1,37,8,31,71,323,4,2,2,0.4016358157554885,Medium,5
2024-03-16,saturday,5,11.23,238,1,15,62,61,155,185,5,2,2,0.1024537236332329,Low,4
2024-03-17,sunday,5,12.26,282,1,26,52,34,7,42,6,2,2,0.1213947481704692,Low,4
2024-03-18,monday,5,15.26,1063,1,29,99,13,7,295,0,3,2,0.4575979337064141,Medium,5
2024-03-19,tuesday,5,14.61,1201,1,37,31,48,57,6,1,3,2,0.5170038743004736,High,5
2024-03-20,wednesday,5,6.7,1720,1,27,46,43,5,136,2,3,2,0.7404218682737839,Very High,5
2024-03-21,thursday,5,10.53,1231,1,3,26,58,112,59,3,3,2,0.5299182092122255,High,5
2024-03-22,friday,5,8.7,1161,1,24,109,61,1,222,4,3,2,0.4997847610848041,High,5
2024-03-23,saturday,5,11.88,558,1,45,88,31,147,76,5,3,2,0.240206629358588,Medium,4
2024-03-24,sunday,5,14.83,420,1,9,14,29,12,29,6,3,2,0.1808006887645286,Low,4
2024-03-25,monday,5,8.24,1114,1,47,19,1,13,184,0,4,2,0.4795523030563925,High,5
2024-03-26,tuesday,5,13.48,1419,1,12,71,69,125,284,1,4,2,0.6108480413258717,Very High,5
2024-03-27,wednesday,5,21.5,1773,1,12,84,18,40,336,2,4,2,0.7632371932845459,Very High,5
2024-03-28,thursday,5,19.7,1024,1,32,62,61,46,186,3,4,2,0.4408092983211364,Medium,5
2024-03-29,friday,5,22.19,1114,1,20,56,62,7,143,4,4,2,0.4795523030563925,High,5
2024-03-30,saturday,5,25.31,348,1,27,48,20,142,13,5,4,2,0.1498062849763237,Low,4
2024-03-31,sunday,5,23.2,340,1,42,77,38,102,166,6,4,2,0.1463624623331898,Low,4
2024-04-01,monday,5,23.77,959,1,29,99,13,7,298,0,0,3,0.4128282393456737,Medium,5
2024-04-02,tuesday,5,25.06,1532,1,15,48,20,37,55,1,0,3,0.6594920361601377,Very High,5
2024-04-03,wednesday,5,18.56,1645,1,29,105,74,7,13,2,0,3,0.7081360309944038,Very High,5
2024-04-04,thursday,5,18.08,1311,1,12,14,18,19,235,3,0,3,0.5643564356435643,High,5
2024-04-05,friday,5,20.19,796,1,42,25,51,125,194,4,0,3,0.3426603529918209,Medium,5
2024-04-06,saturday,5,19.9,129,1,37,62,61,146,106,5,0,3,0.0555316401205337,Very Low,4
2024-04-07,sunday,5,15.3,110,1,42,8,44,12,165,6,0,3,0.0473525613430908,Very Low,4
2024-04-08,monday,5,15.55,201,1,24,37,66,43,14,0,1,3,0.0865260439087387,Low,5
2024-04-09,tuesday,5,16.95,108,1,15,16,31,77,64,1,1,3,0.0464916056823073,Very Low,1
2024-04-10,wednesday,5,16.45,79,1,3,40,1,62,145,2,1,3,0.034007748600947,Very Low,1
2024-04-11,thursday,5,18.36,52,1,29,58,23,47,99,3,1,3,0.0223848471803702,Very Low,1
2024-04-12,friday,5,19.31,160,1,34,88,43,124,65,4,1,3,0.0688764528626775,Very Low,1
2024-04-13,saturday,5,19.25,222,1,24,98,62,36,181,5,1,3,0.0955660783469651,Low,4
2024-04-14,sunday,5,23.31,257,1,15,118,46,60,34,6,1,3,0.1106328024106758,Low,4
2024-04-15,monday,5,24.19,1456,1,47,27,14,7,179,0,2,3,0.6267757210503659,Very High,5
2024-04-16,tuesday,5,26.73,1857,1,27,35,7,182,119,1,2,3,0.7993973310374516,Very High,5
2024-04-17,wednesday,5,25.88,1912,1,37,92,44,7,9,2,2,3,0.823073611708997,Very High,5
2024-04-18,thursday,5,15.58,1234,1,21,30,17,77,283,3,2,3,0.5312096427034008,High,5
2024-04-19,friday,5,13.88,1345,1,12,14,74,8,197,4,2,3,0.5789926818768834,High,5
2024-04-20,saturday,5,13.68,478,1,15,15,62,50,154,5,2,3,0.2057684029272492,Low,4
2024-04-21,sunday,5,18.75,643,1,41,80,36,34,155,6,2,3,0.2767972449418855,Medium,4
2024-04-22,monday,5,20.36,1827,1,3,35,18,7,83,0,3,3,0.7864829961256995,Very High,5
2024-04-23,tuesday,5,19.11,657,1,0,3,31,58,221,1,3,3,0.2828239345673697,Medium,2
2024-04-24,wednesday,5,25.9,2200,1,47,104,69,120,4,2,3,3,0.9470512268618166,Very High,5
2024-04-25,thursday,5,24.05,1784,1,27,9,72,125,34,3,3,3,0.7679724494188549,Very High,5
2024-04-26,friday,5,17.78,1692,1,29,11,18,25,188,4,3,3,0.7283684890228154,Very High,5
2024-04-27,saturday,5,16.08,348,1,42,62,60,160,105,5,3,3,0.1498062849763237,Low,4
2024-04-28,sunday,5,16.45,426,1,26,90,26,126,127,6,3,3,0.183383555746879,Low,4
2024-04-29,monday,5,15.28,1798,1,29,103,38,7,77,0,4,3,0.7739991390443393,Very High,5
2024-04-30,tuesday,5,15.53,1326,1,21,18,66,62,299,1,4,3,0.5708136030994404,High,5
2024-05-01,wednesday,5,14.8,794,1,29,85,43,120,205,2,0,4,0.3417993973310374,Medium,2
2024-05-02,thursday,5,16.31,1769,1,37,91,67,132,127,3,0,4,0.7615152819629789,Very High,5
2024-05-03,friday,5,19.12,1604,1,12,80,20,142,92,4,0,4,0.6904864399483427,Very High,5
2024-05-04,saturday,5,15.68,434,1,20,48,47,24,177,5,0,4,0.1868273783900129,Low,4
2024-05-05,sunday,5,15.45,518,1,42,107,66,62,258,6,0,4,0.2229875161429186,Medium,4
2024-05-06,monday,5,18.28,1601,1,44,50,24,24,193,0,1,4,0.6891950064571675,Very High,5
2024-05-07,tuesday,5,21.81,1623,1,42,76,1,7,271,1,1,4,0.6986655187257856,Very High,5
2024-05-08,wednesday,5,23.55,2181,1,41,70,20,115,90,2,1,4,0.9388721480843736,Very High,5
2024-05-09,thursday,5,17.36,2011,1,15,16,21,7,175,3,1,4,0.8656909169177788,Very High,5
2024-05-10,friday,5,16.28,1197,1,3,41,65,7,133,4,1,4,0.5152819629789066,High,5
2024-05-11,saturday,5,15.98,551,1,29,11,44,157,146,5,1,4,0.2371932845458459,Medium,4
2024-05-12,sunday,5,20.11,351,1,34,19,1,7,321,6,1,4,0.1510977184674989,Low,4
2024-05-13,monday,5,14.11,1542,1,24,73,77,62,183,0,2,4,0.6637968144640551,Very High,5
2024-05-14,tuesday,5,16.78,1548,1,15,78,40,7,33,1,2,4,0.6663796814464055,Very High,5
2024-05-15,wednesday,5,16.98,2132,1,18,108,76,42,50,2,2,4,0.9177787343951788,Very High,5
2024-05-16,thursday,5,16.9,1578,1,27,67,36,7,279,3,2,4,0.6792940163581576,Very High,5
2024-05-17,friday,5,18.7,1551,1,25,70,18,80,251,4,2,4,0.6676711149375807,Very High,3
2024-05-18,saturday,5,19.56,657,1,12,88,31,122,116,5,2,4,0.2828239345673697,Medium,3
2024-05-19,sunday,5,16.75,583,1,18,107,44,12,11,6,2,4,0.2509685751183814,Medium,2
2024-05-20,monday,5,18.58,1403,1,15,69,73,143,96,0,3,4,0.6039603960396039,High,3
2024-05-21,tuesday,5,19.2,1621,1,41,86,31,174,256,1,3,4,0.6978045630650022,Very High,3
2024-05-22,wednesday,5,20.9,2007,1,10,105,29,86,142,2,3,4,0.8639690055962118,Very High,3
2024-05-23,thursday,5,18.45,1263,1,41,29,64,156,204,3,3,4,0.5436934997847611,High,3
2024-05-24,friday,5,19.9,891,1,21,30,76,140,322,4,3,4,0.3835557468790357,Medium,3
2024-05-25,saturday,5,20.69,983,1,47,79,67,167,23,5,3,4,0.4231597072750753,Medium,3
2024-05-26,sunday,5,19.38,492,1,3,4,76,17,317,6,3,4,0.2117950925527335,Low,3
2024-05-27,monday,5,18.19,1533,1,15,7,30,17,77,0,4,4,0.6599225139905295,Very High,2
2024-05-28,tuesday,5,20.11,1056,1,26,27,14,17,161,1,4,4,0.454584588893672,Medium,3
2024-05-29,wednesday,5,24.38,1678,1,3,69,25,88,121,2,4,4,0.722341799397331,Very High,3
2024-05-30,thursday,5,26.62,1488,1,45,46,18,132,12,3,4,4,0.6405510116229014,Very High,3
2024-05-31,friday,5,27.69,1222,1,7,48,65,136,13,4,4,4,0.5260439087387,High,3
2024-06-01,saturday,5,29.1,670,1,41,24,13,106,302,5,0,5,0.2884201463624623,Medium,3
2024-06-02,sunday,5,32.94,347,1,32,58,23,48,264,6,0,5,0.149375807145932,Low,3
2024-06-03,monday,5,31.48,1145,1,34,101,61,3,120,0,1,5,0.4928971157985364,High,3
2024-06-04,tuesday,5,32.84,859,1,3,19,1,21,30,1,1,5,0.3697804563065002,Medium,3
2024-06-05,wednesday,5,28.19,1397,1,41,111,6,93,70,2,1,5,0.6013775290572535,High,3
2024-06-06,thursday,5,26.28,526,1,37,27,32,65,292,3,1,5,0.2264313387860525,Medium,3
2024-06-07,friday,5,26.38,553,1,44,21,46,128,271,4,1,5,0.2380542402066293,Medium,3
2024-06-08,saturday,5,25.94,277,1,0,79,60,151,246,5,1,5,0.1192423590185105,Low,3
2024-06-09,sunday,5,26.69,178,1,18,33,20,26,53,6,1,5,0.0766250538097288,Very Low,4
2024-06-10,monday,5,30.66,398,1,21,67,35,17,201,0,2,5,0.1713301764959104,Low,5
2024-06-11,tuesday,5,35.44,353,1,32,66,43,103,195,1,2,5,0.1519586741282824,Low,5
2024-06-12,wednesday,5,31.48,385,1,11,63,64,89,140,2,2,5,0.1657339647008179,Low,5
2024-06-13,thursday,5,33.6,218,1,42,99,13,12,285,3,2,5,0.0938441670253981,Low,5
2024-06-14,friday,5,25.36,197,1,25,29,64,130,190,4,2,5,0.0848041325871717,Low,5
2024-06-15,saturday,5,24.36,57,1,38,45,20,82,117,5,2,5,0.0245372363323288,Very Low,1
2024-06-16,sunday,5,26.48,42,1,12,42,8,63,307,6,2,5,0.0180800688764528,Very Low,1
2024-06-17,monday,5,28.16,53,1,15,47,22,113,7,0,3,5,0.0228153250107619,Very Low,1
2024-06-18,tuesday,5,27.31,32,1,43,31,47,108,247,1,3,5,0.0137752905725355,Very Low,1
2024-06-19,wednesday,5,26.78,51,1,36,55,18,79,200,2,3,5,0.0219543693499784,Very Low,1
2024-06-20,thursday,5,27.44,51,1,27,27,14,17,297,3,3,5,0.0219543693499784,Very Low,1
2024-06-21,friday,5,26.86,88,1,26,16,18,39,13,4,3,5,0.0378820490744726,Very Low,1
2024-06-22,saturday,5,25.5,74,1,0,26,58,112,163,5,3,5,0.0318553594489883,Very Low,1
2024-06-23,sunday,5,25.77,120,1,15,88,31,183,114,6,3,5,0.0516573396470081,Very Low,1
2024-06-24,monday,5,26.48,373,1,35,28,15,90,268,0,4,5,0.1605682307361171,Low,1
2024-06-25,tuesday,5,26.86,782,1,13,68,20,110,91,1,4,5,0.3366336633663366,Medium,5
2024-06-26,wednesday,5,26.56,785,1,25,115,24,81,224,2,4,5,0.3379250968575118,Medium,5
2024-06-27,thursday,5,25.77,926,1,26,16,18,39,26,3,4,5,0.3986224709427464,Medium,5
2024-06-28,friday,5,25.95,487,1,12,1,40,12,115,4,4,5,0.2096427034007748,Low,5
2024-06-29,saturday,5,26.2,149,1,30,27,14,70,7,5,4,5,0.0641411967283684,Very Low,4
2024-06-30,sunday,5,28.31,169,1,12,74,3,145,244,6,4,5,0.0727507533362031,Very Low,4
2024-01-01,monday,5,12.73,665,0,15,2,44,178,220,0,0,0,0.2862677572105037,Medium,2
2024-01-02,tuesday,5,8.33,1188,0,46,24,13,3,28,1,0,0,0.5114076625053809,High,3
2024-01-03,wednesday,5,11.88,1475,0,7,36,34,142,86,2,0,0,0.6349547998278089,Very High,3
2024-01-04,thursday,5,11.98,1048,0,13,31,48,68,329,3,0,0,0.4511407662505381,Medium,3
2024-01-05,friday,5,7.76,1264,0,12,37,67,168,206,4,0,0,0.5441239776151529,High,3
2024-01-06,saturday,5,11.68,1,0,33,48,69,125,46,5,0,0,0.0004304778303917,Very Low,3
2024-01-07,sunday,5,12.95,605,0,19,62,61,44,22,6,0,0,0.2604390873869995,Medium,3
2024-01-08,monday,5,7.86,1336,0,16,71,72,116,15,0,1,0,0.5751183814033577,High,3
2024-01-09,tuesday,5,4.48,695,0,14,30,17,125,218,1,1,0,0.2991820921222557,Medium,3
2024-01-10,wednesday,5,3.06,1345,0,45,102,67,2,172,2,1,0,0.5789926818768834,High,3
2024-01-11,thursday,5,2.76,1076,0,15,26,58,184,45,3,1,0,0.4631941455015066,Medium,3
2024-01-12,friday,5,2.86,704,0,42,24,13,7,331,4,1,0,0.3030563925957813,Medium,3
2024-01-13,saturday,5,1.06,386,0,29,60,25,116,25,5,1,0,0.1661644425312096,Low,0
2024-01-14,sunday,5,4.6,368,0,46,4,48,88,242,6,1,0,0.1584158415841584,Low,0
2024-01-15,monday,5,10.08,325,0,29,30,76,12,43,0,2,0,0.1399052948773138,Low,0
2024-01-16,tuesday,5,7.63,290,0,32,62,61,83,174,1,2,0,0.1248385708136031,Low,0
2024-01-17,wednesday,5,5.8,297,0,26,59,64,160,147,2,2,0,0.1278519156263452,Low,0
2024-01-18,thursday,5,14.05,302,0,2,42,41,12,211,3,2,0,0.1300043047783039,Low,0
2024-01-19,friday,5,13.63,191,0,26,4,34,118,180,4,2,0,0.0822212656048213,Very Low,0
2024-01-20,saturday,5,3.98,122,0,15,19,10,7,326,5,2,0,0.0525182953077916,Very Low,0
2024-01-21,sunday,5,4.78,124,0,39,21,46,116,31,6,2,0,0.0533792509685751,Very Low,0
2024-01-22,monday,5,4.88,180,0,45,71,12,137,101,0,3,0,0.0774860094705122,Very Low,0
2024-01-23,tuesday,5,4.63,102,0,17,18,66,128,329,1,3,0,0.0439087386999569,Very Low,0
2024-01-24,wednesday,5,4.1,163,0,18,10,5,0,328,2,3,0,0.0701678863538527,Very Low,0
2024-01-25,thursday,5,6.66,132,0,34,37,20,148,72,3,3,0,0.056823073611709,Very Low,0
2024-01-26,friday,5,3.76,140,0,47,6,66,7,56,4,3,0,0.0602668962548428,Very Low,0
2024-01-27,saturday,5,5.3,53,0,29,58,4,154,237,5,3,0,0.0228153250107619,Very Low,0
2024-01-28,sunday,5,3.06,74,0,44,4,73,72,211,6,3,0,0.0318553594489883,Very Low,0
2024-01-29,monday,5,2.43,125,0,17,70,67,166,100,0,4,0,0.0538097287989668,Very Low,0
2024-01-30,tuesday,5,3.76,152,0,2,36,20,125,232,1,4,0,0.0654326302195437,Very Low,0
2024-01-31,wednesday,5,5.26,124,0,15,113,62,148,21,2,4,0,0.0533792509685751,Very Low,0
2024-02-01,thursday,5,2.13,116,0,12,27,14,7,334,3,0,1,0.0499354283254412,Very Low,0
2024-02-02,friday,5,6.2,91,0,42,58,4,160,207,4,0,1,0.0391734825656478,Very Low,0
2024-02-03,saturday,5,3.03,94,0,30,109,74,7,8,5,0,1,0.040464916056823,Very Low,0
2024-02-04,sunday,5,8.08,122,0,26,89,31,123,101,6,0,1,0.0525182953077916,Very Low,0
2024-02-05,monday,5,12.51,221,0,35,15,45,92,234,0,1,1,0.0951356005165734,Low,0
2024-02-06,tuesday,5,11.08,168,0,3,26,59,179,261,1,1,1,0.0723202755058114,Very Low,0
2024-02-07,wednesday,5,14.11,216,0,42,24,19,7,333,2,1,1,0.0929832113646147,Low,0
2024-02-08,thursday,5,12.61,268,0,21,21,46,119,319,3,1,1,0.1153680585449849,Low,0
2024-02-09,friday,5,11.7,217,0,47,19,1,153,209,4,1,1,0.0934136891950064,Low,0
2024-02-10,saturday,5,15.11,1,0,15,83,71,166,281,5,1,1,0.0004304778303917,Very Low,0
2024-02-11,sunday,5,13.53,164,0,21,62,60,44,152,6,1,1,0.0705983641842445,Very Low,0
2024-02-12,monday,5,11.51,875,0,3,57,47,7,262,0,2,1,0.376668101592768,Medium,5
2024-02-13,tuesday,5,6.96,1067,0,0,19,1,24,316,1,2,1,0.459319845027981,Medium,5
2024-02-14,wednesday,5,7.5,814,0,15,58,4,160,208,2,2,1,0.3504089539388721,Medium,5
2024-02-15,thursday,5,6.46,1084,0,37,76,69,168,85,3,2,1,0.4666379681446405,Medium,5
2024-02-16,friday,5,6.13,916,0,29,25,29,94,225,4,2,1,0.3943176926388291,Medium,5
2024-02-17,saturday,5,5.88,566,0,26,2,31,181,252,5,2,1,0.2436504520017219,Medium,4
2024-02-18,sunday,5,4.08,672,0,14,71,62,125,103,6,2,1,0.2892811020232458,Medium,4
2024-02-19,monday,5,6.13,1423,0,26,56,34,7,159,0,3,1,0.6125699526474386,Very High,5
2024-02-20,tuesday,5,4.13,1555,0,32,101,18,7,278,1,3,1,0.6693930262591476,Very High,5
2024-02-21,wednesday,5,3.23,1479,0,7,35,20,102,18,2,3,1,0.6366767111493759,Very High,5
2024-02-22,thursday,5,4.6,1513,0,2,80,5,125,196,3,3,1,0.6513129573826948,Very High,5
2024-02-23,friday,5,10.2,207,0,44,62,61,153,51,4,3,1,0.0891089108910891,Low,5
2024-02-24,saturday,5,10.53,313,0,35,30,76,148,255,5,3,1,0.134739560912613,Low,4
2024-02-25,sunday,5,10.8,649,0,32,113,71,94,73,6,3,1,0.2793801119242359,Medium,4
2024-02-26,monday,5,7.6,1104,0,2,21,46,7,18,0,4,1,0.4752475247524752,Medium,5
2024-02-27,tuesday,5,6.13,1346,0,0,121,64,160,47,1,4,1,0.5794231597072751,High,5
2024-02-28,wednesday,5,6.98,1307,0,29,27,14,114,303,2,4,1,0.5626345243219975,High,5
2024-02-29,thursday,5,7.23,904,0,37,58,4,46,215,3,4,1,0.3891519586741283,Medium,5
2024-03-01,friday,5,6.96,909,0,42,92,41,9,195,4,0,2,0.391304347826087,Medium,5
2024-03-02,saturday,5,7.53,332,0,2,58,23,45,191,5,0,2,0.1429186396900559,Low,4
2024-03-03,sunday,5,6.53,516,0,3,32,77,138,275,6,0,2,0.2221265604821351,Medium,4
2024-03-04,monday,5,7.58,1513,0,29,37,42,67,174,0,1,2,0.6513129573826948,Very High,5
2024-03-05,tuesday,5,7.73,1563,0,42,48,67,24,171,1,1,2,0.6728368489022816,Very High,5
2024-03-06,wednesday,5,6.16,1026,0,37,62,61,7,230,2,1,2,0.4416702539819199,Medium,5
2024-03-07,thursday,5,5.78,1504,0,44,11,20,143,199,3,1,2,0.6474386569091691,Very High,5
2024-03-08,friday,5,5.86,782,0,26,26,58,180,124,4,1,2,0.3366336633663366,Medium,5
2024-03-09,saturday,5,4.48,671,0,1,48,62,164,13,5,1,2,0.288850624192854,Medium,4
2024-03-10,sunday,5,6.88,727,0,0,119,72,7,112,6,1,2,0.3129573826947912,Medium,4
2024-03-11,monday,5,12.05,1192,0,34,24,13,7,305,0,2,2,0.5131295738269479,High,5
2024-03-12,tuesday,5,11.86,1745,0,3,54,20,27,24,1,2,2,0.7511838140335773,Very High,5
2024-03-13,wednesday,5,8.51,1808,0,27,86,69,173,3,2,2,2,0.7783039173482565,Very High,5
2024-03-14,thursday,5,8.78,1552,0,45,67,18,152,198,3,2,2,0.6681015927679724,Very High,5
2024-03-15,friday,5,4.96,1191,0,32,69,29,128,87,4,2,2,0.5126990959965562,High,5
2024-03-16,saturday,5,6.1,795,0,30,94,20,150,63,5,2,2,0.3422298751614291,Medium,4
2024-03-17,sunday,5,6.56,905,0,12,103,44,131,129,6,2,2,0.38958243650452,Medium,4
2024-03-18,monday,5,7.7,1437,0,3,17,9,52,335,0,3,2,0.618596642272923,Very High,5
2024-03-19,tuesday,5,8.51,1938,0,15,63,26,77,72,1,3,2,0.8342660352991821,Very High,5
2024-03-20,wednesday,5,4.9,1564,0,11,50,45,158,182,2,3,2,0.6732673267326733,Very High,5
2024-03-21,thursday,5,6.23,1438,0,42,100,41,125,187,3,3,2,0.6190271201033147,Very High,5
2024-03-22,friday,5,3.46,1088,0,26,13,49,24,162,4,3,2,0.4683598794662075,Medium,5
2024-03-23,saturday,5,5.18,1031,0,8,10,42,66,20,5,3,2,0.4438226431338786,Medium,4
2024-03-24,sunday,5,10.78,835,0,37,101,34,7,162,6,3,2,0.3594489883770986,Medium,4
