date,day_of_week,meal_time,soup,main_dish,vegetarian,side_dishes,dessert
2024-09-20,cuma,aksam yemegi,domates corba,kiymali patates oturtma,patates graten,"soslu makarna, gul boregi","havuc borani, meyve, gazoz"
2024-09-21,cumartesi,ogle yemegi,safak corba,pizza,saksuka,"sogan halkasi, mucver","kola, meyve, amerikan salata"
2024-09-21,cumartesi,aksam yemegi,mantar corba,tavuk kok kanat,semizotu yemegi,"bolonez soslu spagetti, pirinc pilavi","mevsim salata, meyve, soda"
2024-09-22,pazar,ogle yemegi,alaca corba,etli turlu,etsiz turlu,"bulgur pilavi, misirli pirinc pilavi","cacik, mevsim salata, zerde tatlisi"
2024-09-22,pazar,aksam yemegi,suzme mercimek corba,manisa kirkagac kofte,zy.biber dolma,"soslu makarna, gul boregi","ayran, mevsim salata, meyve"
2024-09-23,pazartesi,ogle yemegi,ayranasi corba,izmir kofte,yesil mercimek yemegi,"bulgur pilavi, ic pilavi","ayran, mevsim salata, meyve"
2024-09-23,pazartesi,aksam yemegi,sehriye corba,yayla soslu tavuk,etsiz barbunya,"firin makarna, pirinc pilavi","mercimek kofte, meyve, gazoz"
2024-09-24,sali,ogle yemegi,tavuk suyu corba,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, melek pilavi","yogurt, mevsim salata, soda"
2024-09-24,sali,aksam yemegi,safak corba,kiymali ispanak yemegi,yesil mercimekli ispanak yemegi,"soslu makarna, su boregi","trilece, mevsim salata, meyve"
2024-09-25,carsamba,ogle yemegi,suzme mercimek corba,tavuk izgara,saksuka,"patatesli tepsi boregi, sehriyeli pirinc pilavi","mevsim salata, cig kofte, ayran"
2024-09-25,carsamba,aksam yemegi,tarhana corba,etli bezelye,etsiz bezelye,"bulgur pilavi, eriste","ayran, mevsim salata, meyve"
2024-09-26,persembe,ogle yemegi,ezogelin corba,tas kebabi,dovmec,"yesil mercimekli bulgur pilavi, pirinc pilavi","mevsim salata, meyve, ayran"
2024-09-26,persembe,aksam yemegi,domates corba,ciftlik kebabi,sebze sote,"bulgur pilavi, zerdecalli pirinc pilavi","limonata, meyve, haydari"
2024-09-27,cuma,ogle yemegi,mantar corba,et doner,mucver,"melek pilavi, soslu makarna","limonata, mevsim salata, nevzine tatlisi"
2024-09-27,cuma,aksam yemegi,yogurtlu nane corba,firin tavuk baget,falafel,"pirinc pilavi, su boregi","coban salata, meyve, soda"
2024-09-28,cumartesi,ogle yemegi,antep corba,pilic kofte,saksuka,"domates soslu spagetti, misirli pirinc pilavi","fanta, mevsim salata, meyve"
2024-09-28,cumartesi,aksam yemegi,tutmac corba,kiymali ispanak yemegi,ispanak yemegi,"tepsi boregi, zerdecalli makarna","sutlac, meyve, mevsim salata"
2024-09-29,pazar,ogle yemegi,krutonlu mercimek corba,etli mantar sote,mantar sote,"pirinc pilavi, kuskus","piyaz, havuc borani, limonata"
2024-09-29,pazar,aksam yemegi,sef'in corbasi,tavuk sinitzel,harput kofte,"soslu makarna, melek pilavi","meyve, gazoz, coban salata"
2024-09-30,pazartesi,ogle yemegi,elvankiz corba,meksika soslu tavuk,etsiz taze fasulye,"bulgur pilavi, penne makarna","meyve, ayran, mevsim salata"
2024-09-30,pazartesi,aksam yemegi,safak corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","tursu, meyve, brownie"
2024-10-01,sali,ogle yemegi,ezogelin corba,hunkar begendi,saksuka,"bulgur pilavi, melek pilavi","cacik, meyve, mevsim salata"
2024-10-01,sali,aksam yemegi,tarhana corba,etli taze fasulye,taze fasulye,"eriste, zerdecalli pirinc pilavi","mevsim salata, meyve, keskul"
2024-10-02,carsamba,ogle yemegi,mercimek corba,pilic special but,vegan kofte,"penne makarna, garniturlu pirinc pilavi","kazandibi, mercimek kofte, kola"
2024-10-02,carsamba,aksam yemegi,krotonlu domates corba,etli manti,etsiz manti,"zy.orbit fasulye, karisik kizartma","gazoz, meyve, profiterol"
2024-10-03,persembe,ogle yemegi,tavuk suyu corba,adana kofte,vegan (bezelye) kofte,"soslu makarna, arpa sehriyeli pirinc pilavi","ayran, meyve, misirli salata"
2024-10-03,persembe,aksam yemegi,cesmi nigar corba,ciftlik kebabi,nohutlu kabak yemegi,"soslu spagetti, domatesli bulgur pilavi","yogurt, mevsim salata, limona"
2024-10-04,cuma,ogle yemegi,suzme mercimek corba,et doner,bamya yemegi,"pirinc pilavi, bulgur pilavi","meyve, mevsim salata, gazoz"
2024-10-04,cuma,aksam yemegi,safak corba,kiymali yesil mercimek,yesil mercimek yemegi,"soslu makarna, su boregi","havuc tarator, meyve, soda"
2024-10-05,cumartesi,ogle yemegi,antep corba,cordon bleu + pure,mantar sote,"melek pilavi, sebzeli makarna","portakalli gazoz, meyve, magnolia"
2024-10-05,cumartesi,aksam yemegi,toyga corba,karniyarik,imam bayildi,"pirinc pilavi, bulgur pilavi","meyve, mevsim salata, visne komposto"
2024-10-06,pazar,ogle yemegi,alaca corba,etli karisik dolma,zy.dolma,"su boregi, zy.barbunya","meyve, mercimek kofte, meyveli soda"
2024-10-06,pazar,aksam yemegi,arpa sehriyeli corba,rosto kofte,falafel,"soslu makarna, pirinc pilavi","kola, meyve, mor dunya"
2024-10-07,pazartesi,ogle yemegi,mantar corba,etli guvec,sebze buketi,"bulgur pilavi, melek pilavi","cacik, meyve, nevzine tatlisi"
2024-10-07,pazartesi,aksam yemegi,brokoli corba,firin tavuk,mucver,"soslu makarna, misirli pirinc pilavi","meyve, pembe sultan, soda"
2024-10-08,sali,ogle yemegi,sehriye corba,kibrit kebabi,dovmec,"soslu makarna, arpa sehriyeli pirinc pilavi","soda, mevsim salata, meyve"
2024-10-08,sali,aksam yemegi,sebze corba,etli nohut,nohut yemegi,"bulgur pilavi, pirinc pilavi","mevsim salata, tursu, ayran"
2024-10-09,carsamba,ogle yemegi,domates corba,kremali tavuk sote,falafel,"penne makarna, garniturlu pirinc pilavi","limonata, magnolia, mevsim salata"
2024-10-09,carsamba,aksam yemegi,tarhana corba,besamel soslu karnabahar,karnabahar yemegi,"soslu spagetti, eriste","kola, tulumba tatlisi, mevsim salata"
2024-10-10,persembe,ogle yemegi,koylu corba,firinda patatesli kofte yemegi,patates graten,"soslu makarna, su boregi","ayran, mevsim salata, peynir tatlisi"
2024-10-10,persembe,aksam yemegi,mahluta corba,pizza,karisik kizartma,"domates soslu makarna, pirinc pilavi","kola, mevsim salata, supangle"
2024-10-11,cuma,ogle yemegi,alaca corba,macar gulas,zy.kereviz,"eriste, melek pilavi","mevsim salata, soda, sutlac"
2024-10-11,cuma,aksam yemegi,mahluta corba,pilic emense,barbunya yemegi,"firin makarna, zerdecalli pirinc pilavi","mevsim salata, meyve, limonata"
2024-10-12,cumartesi,ogle yemegi,kabak corba,rosto kofte,sebze graten,"bulgur pilavi, pirinc pilavi","ayran, mevsim salata, komposto"
2024-10-12,cumartesi,aksam yemegi,suzme mercimek corba,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, melek pilavi","tursu, mevsim salata, kibris tatli"
2024-10-13,pazar,ogle yemegi,domates corba,kiymali ispanak yemegi,ispanak yemegi,"gul boregi, soslu makarna","soda, meyve, magnolia"
2024-10-13,pazar,aksam yemegi,kis corbasi,pilic kofte,falafel,"pirinc pilavi, soslu makarna","limonata, meyve, kisir"
2024-10-14,pazartesi,ogle yemegi,ezogelin corba,mantar soslu tavuk,mantar sote,"bulgur pilavi, misirli pirinc pilavi","mor dunya, mercimek kofte, meyveli soda"
2024-10-14,pazartesi,aksam yemegi,vitamin corba,ciftlik kebabi,taze fasulye yemegi,"domatesli bulgur pilavi, melek pilavi","kabak tarator, meyve, gazoz"
2024-10-15,sali,ogle yemegi,kremali mantar corba,etli bezelye,etsiz bezelye,"kuskus, pirinc pilavi","ayran, meyve, mevsim salata"
2024-10-15,sali,aksam yemegi,koylu corba,izmir kofte,vegan kofte,"soslu makarna, melek pilavi","limonata, meyve, kazandibi"
2024-10-16,carsamba,ogle yemegi,krutonlu domates corba,kekikli pilic kavurma,vegan hamburger,"nohutlu pirinc pilavi, penne makarna","cig kofte, ayran, cheesecake"
2024-10-16,carsamba,aksam yemegi,safak corba,etli nohut,nohut yemegi,"bulgur pilavi, pirinc pilavi","tursu, yogurt, meyve"
2024-10-17,persembe,ogle yemegi,tarhana corba,tas kebabi,falafel,"melek pilavi, eriste","portakalli gazoz, mevsim salata, meyve"
2024-10-17,persembe,aksam yemegi,brokoli corba,kiymali patates oturtma,patates graten,"bulgur pilavi, pirinc pilavi","mercimek kofte, meyve, gazoz"
2024-10-18,cuma,ogle yemegi,alaca corba,tavuk doner,dovmec,"bulgur pilavi, pirinc pilavi","ayran, meyve, hayrabolu tatlisi"
2024-10-18,cuma,aksam yemegi,domates corba,etli guvec,nohutlu kabak yemegi,"tepsi boregi, soslu spagetti","mevsim salata, havuc tarator, meyve"
2024-10-19,cumartesi,ogle yemegi,antep corba,patlican oturtma,saksuka,"soslu spagetti, eriste","haydari, meyve, fanta"
2024-10-19,cumartesi,aksam yemegi,tutmac corba,icli kofte,vegan kofte,"su boregi, melek pilavi","gazoz, meyve, mevsim salata"
2024-10-20,pazar,ogle yemegi,mantar corba,kiymali yesil mercimek,yesil mercimek yemegi,"kalem borek, eriste","soda, mevsim salata, keskul"
2024-10-20,pazar,aksam yemegi,ezogelin corba,tavuk baget haslama,sebze sote,"bulgur pilavi, pirinc pilavi","ayran, meyve, mevsim salata"
2024-10-21,pazartesi,ogle yemegi,mercimek corba,orman kebabi,bezelye yemegi,"bulgur pilavi, pirinc pilavi","yogurt, meyve, cheesecake"
2024-10-21,pazartesi,aksam yemegi,sebze corba,tavuklu mantar sote,mantar sote,"penne makarna, melek pilavi","mor dunya, meyveli soda, meyve"
2024-10-22,sali,ogle yemegi,mengen corba,rosto kofte,falafel,"melek pilavi, bulgur pilavi","ayran, mevsim salata, meyve"
2024-10-22,sali,aksam yemegi,safak corba,kiymali ispanak yemegi,ispanak yemegi,"su boregi, eriste","kadayif tatlisi, meyve, soda"
2024-10-23,carsamba,ogle yemegi,suzme mercimek corba,izgara tavuk,zy. patlican,"garniturlu pirinc pilavi, soslu makarna","kola, havuc tarator, trilece"
2024-10-23,carsamba,aksam yemegi,sehriye corba,sulu kofte,bamya yemegi,"penne makarna, bulgur pilavi","mevsim salata, limonata, meyve"
2024-10-24,persembe,ogle yemegi,tavuk suyu corba,etli taze fasulye,taze fasulye yemegi,"domatesli bulgur pilavi, zerdecalli pirinc pilavi","yogurt, meyve, hayrabolu tatlisi"
2024-10-24,persembe,aksam yemegi,yayla corba,kori soslu tavuk sote,harput kofte,"soslu spagetti, misirli pirinc pilavi","kola, meyve, mor salata"
2024-10-25,cuma,ogle yemegi,mahluta corba,et doner,mucver,"pirinc pilavi, bulgur pilavi","kisir, kola, mevsim salata"
2024-10-25,cuma,aksam yemegi,domates corba,cordon bleu + pure,sebze buketi,"soslu makarna, gul boregi","meyve, gazoz, amerikan salata"
2024-10-26,cumartesi,ogle yemegi,toyga corba,pizza,bruksel lahana,"bulgur pilavi, melek pilavi","meyve, kabak borani, nevzine tatlisi"
2024-10-26,cumartesi,aksam yemegi,mercimek corba,etli barbunya,barbunya yemegi,"bulgur pilavi, pirinc pilavi","ayran, meyve, tursu"
2024-10-27,pazar,ogle yemegi,antep corba,kadinbudu kofte,bezelye yemegi,"soslu spagetti, gul boregi","mevsim salata, meyve, meyveli soda"
2024-10-27,pazar,aksam yemegi,alaca corba,tavuk kok kanat,pirasa yemegi,"penne makarna, melek pilavi","portakalli gazoz, meyve, cilekli puding"
2024-10-28,pazartesi,ogle yemegi,kis corbasi,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, pirinc pilavi","ayran, tursu, mevsim salata"
2024-10-28,pazartesi,aksam yemegi,mahluta corba,orman kebabi,saksuka,"soslu makarna, pirinc pilavi","kola, meyve, profiterol"
2024-10-29,sali,ogle yemegi,krotonlu mercimek corba,mezgit pane,pirasa yemegi,"soslu makarna, zy.barbunya","meyve, soda, tahin helva"
2024-10-29,sali,aksam yemegi,mantar corba,etli sebzeli guvec,nohutlu kabak yemegi,"soslu spagetti, bulgur pilavi","cacik, mevsim salata, meyve"
2024-10-30,carsamba,ogle yemegi,yesil mercimek corba,paris soslu tavuk,falafel,"domatesli bulgur pilavi, sehriyeli pirinc pilavi","portakalli gazoz, tiramisu, mevsim salata"
2024-10-30,carsamba,aksam yemegi,alaca corba,sebzeli kofte,bezelye yemegi,"bulgur pilavi, misirli pirinc pilavi","ayran, mevsim salata, meyve"
2024-10-31,persembe,ogle yemegi,ezogelin corba,arnavut cigeri,yesil mercimek yemegi,"pirinc pilavi, soslu makarna","ayran, sekerpare, piyaz"
2024-10-31,persembe,aksam yemegi,domates corba,alinazik kebabi,karniyarik yemegi,"bulgur pilavi, melek pilavi","humus, meyve, limonata"
