date,day_of_week,meal_time,soup,main_dish,vegetarian,side_dishes,dessert
2024-02-10,cumartesi,aksam yemegi,ezogelin corba,pilic nugget,zy.karnabahar,zerdecalli makarna,"tulumba tatlisi, meyve, soda"
2024-02-11,pazar,ogle yemegi,elvankiz corba,tas kebabi,zy.kereviz,soslu makarna,"pembe sultan, meyve, ayran"
2024-02-11,pazar,aksam yemegi,koylu corba,kiymali yesil mercimek,yesil mercimek,gul boregi,"mevsim salata, meyve, limonata"
2024-02-12,pazartesi,ogle yemegi,kabak corba,izgara tavuk,zy. bruksel lahanasi,"peynirli makarna, sehriyeli pirinc pilavi","ayran, mevsim salata, meyve"
2024-02-12,pazartesi,aksam yemegi,antep corba,kis turlusu,sebze sote,bulgur pilavi,"soda, yesil salata, meyve"
2024-02-13,sali,ogle yemegi,mercimek corba,kabak begendili kebap,zy.brokoli,bulgur pilavi,"sutlac, meyve, mevsim salata"
2024-02-13,sali,aksam yemegi,alaca corba,etli bezelye,bezelye yemegi,eriste,"yogurt, mevsim salata, meyve"
2024-02-14,carsamba,ogle yemegi,mercimek corba,hasanpasa kofte,falafel,bulgur pilavi,"supangle, portakalli gazoz, mevsim salata"
2024-02-14,carsamba,aksam yemegi,ezogelin corba,kiymali ispanak,bugdayli nohutlu ispanak,"su boregi, soslu makarna","mor salata, meyve, cevizli kadayif"
2024-02-15,persembe,ogle yemegi,gendime corba,cin usulu  tavuk sote,sebze buketi,mercimekli bulgur pilavi,"meyve, mevsim salata, gazoz"
2024-02-15,persembe,aksam yemegi,sehriye corba,orman kebabi,zy.enginar,"zerdecalli pirinc pilavi, bulgur pilavi","haydari, meyve, limonata"
2024-02-16,cuma,ogle yemegi,domates corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, mevsim salata, ayran"
2024-02-16,cuma,aksam yemegi,mercimek corba,etli mantar sote,mantar sote,"nohutlu pirinc pilavi, soslu makarna","profiterol, mevsim salata, gazoz"
2024-02-17,cumartesi,ogle yemegi,tarhana corba,bahcivan kebabi,karnabahar yemegi,kuskus,"mevsim salata, meyve, supangle"
2024-02-17,cumartesi,aksam yemegi,mahluta corba,ankara tava,mucver,"zy.kereviz, zy. brokoli","soda, meyve, coleslaw salata"
2024-02-18,pazar,ogle yemegi,kafkas corba,etli taze fasulye,etsiz taze fasulye,"sehriyeli pirinc pilavi, bulgur pilavi","mevsim salata, meyve, gazoz"
2024-02-18,pazar,aksam yemegi,elvankiz corba,misket kofte,zy. bruksel lahanasi,soslu makarna,"kazandibi, mevsim salata, soda"
2024-02-19,pazartesi,ogle yemegi,alaca corba,meksika usulu tavuk,zy.brokoli,zerdecalli makarna,"fanta, meyve, mor salata"
2024-02-19,pazartesi,aksam yemegi,mahluta corba,kibrit kebabi,nohutlu kabak,bulgur pilavi,"mevsim salata, soda, meyve"
2024-02-20,sali,ogle yemegi,antep corba,etli kuru fasulye,gemici usulu kuru fasulye,"sehriyeli pirinc pilavi, bulgur pilavi","tursu, ayran, mevsim salata"
2024-02-20,sali,aksam yemegi,sifa corba,tas kebabi,falafel,bulgur pilavi,"tulumba tatlisi, mevsim salata, meyve"
2024-02-21,carsamba,ogle yemegi,suzme mercimek corba,izgara tavuk,mucver,soslu makarna,"supangle, ayran, mevsim salata"
2024-02-21,carsamba,aksam yemegi,brokoli corba,firin kofte,harput kofte,peynirli makarna,"ayran, meyve, mevsim salata"
2024-02-22,persembe,ogle yemegi,tarhana corba,etli turlu,sebze turlu,bulgur pilavi,"yogurt, mevsim salata, limonata"
2024-02-22,persembe,aksam yemegi,andaloz corba,pilic emense,bugdayli pazi,soslu makarna,"meyve, soda, coleslaw salata"
2024-02-23,cuma,ogle yemegi,ezogelin corba,et doner,kereviz yemegi,sogan halkasi,"ayran, mevsim salata, meyve"
2024-02-23,cuma,aksam yemegi,toyga corba,kiymali yesil mercimek,yesil mercimek yemegi,su boregi,"cilekli puding, mevsim salata, soda"
2024-02-24,cumartesi,ogle yemegi,kafkas corba,soslu mitite kofte,sebze graten,soslu makarna,"ayran, mevsim salata, meyve"
2024-02-24,cumartesi,aksam yemegi,sef'in corbasi,etli taze fasulye,taze fasulye,spagetti makarna,"soda, meyve, komposto"
2024-02-25,pazar,ogle yemegi,antep corba,etli bezelye,bezelye yemegi,bulgur pilavi,"yogurt, limonata, mevsim salata"
2024-02-25,pazar,aksam yemegi,safak corba,tavuk schnitzel,zy.karnabahar,"nohutlu pirinc pilavi, soslu makarna","gazoz, haydari, meyve"
2024-02-26,pazartesi,ogle yemegi,elvankiz corba,tavuklu mantar sote,mantar sote,"misirli pirinc pilavi, bulgur pilavi","kazandibi, soda, mevsim salata"
2024-02-26,pazartesi,aksam yemegi,andaloz corba,etli guvec,sebze guvec,bulgur pilavi,"ayran, meyve, mevsim salata"
2024-02-27,sali,ogle yemegi,gendime corba,etli bezelye,bezelye yemegi,"sehriyeli pirinc pilavi, bulgur pilavi","yogurt, mevsim salata, fanta"
2024-02-27,sali,aksam yemegi,alaca corba,,zy. patlican dolma,"su boregi, soslu makarna","cevizli kadayif, mevsim salata, soda"
2024-02-28,carsamba,ogle yemegi,krutonlu domates corba,tavuk doner,falafel,soslu spagetti,"sekerpare, ayran, mevsim salata"
2024-02-28,carsamba,aksam yemegi,mercimek corba,etli nohut,etsiz nohut,sebzeli bulgur pilavi,"tursu, yogurt, meyve"
2024-02-29,persembe,ogle yemegi,tarhana corba,izmir kofte,zy.brokoli,soslu makarna,"limonata, coleslaw salata, meyve"
2024-02-29,persembe,aksam yemegi,sehriye corba,kiymali ispanak,bugdayli nohutlu ispanak,"gul boregi, soslu makarna","muzlu puding, mevsim salata, soda"
2024-03-01,cuma,ogle yemegi,ezogelin corba,tavuklu bofstraganof,mantar sote,soslu makarna,"gazoz, profiterol, yesil salata"
2024-03-01,cuma,aksam yemegi,tarhana corba,pureli tas kebabi,patlican yemegi,"bulgur pilavi, gokkusagi pilavi","meyve, salata, soda"
2024-03-02,cumartesi,ogle yemegi,domates corba,ciftlik kofte,sebze sote,napoliten soslu makarna,"fanta, meyve, tulumba tatlisi"
2024-03-02,cumartesi,aksam yemegi,andaloz corba,kiymali ispanak,ispanak yemegi,"gul boregi, eriste","meyve, muzlu puding, limonata"
2024-03-03,pazar,ogle yemegi,yayla corba,bahcivan kebabi,bezelye yemegi,bulgur pilavi,"yogurt, mevsim salata, limonata"
2024-03-03,pazar,aksam yemegi,antep corba,etli yaprak sarma,zy.yaprak sarma,"soslu makarna, su boregi","tavuk gogsu, mor salata, soda"
2024-03-04,pazartesi,ogle yemegi,kis corbasi,ankara tava,mucver,"zy.taze fasulye, zy.barbunya","meyve, salata, gazoz"
2024-03-04,pazartesi,aksam yemegi,mercimek corba,firin tavuk but,pirasa yemegi,"melek pilavi, soslu makarna","meyve, coleslaw salata, soda"
2024-03-05,sali,ogle yemegi,ezogelin corba,etli guvec,sebze sote,bulgur pilavi,"cacik, meyve, soda"
2024-03-05,sali,aksam yemegi,tarhana corba,izmir kofte,zy.brokoli,eriste,"meyve, ayran, salata"
2024-03-06,carsamba,ogle yemegi,mantar corba,kibrit kebabi,zy.kereviz,bulgur pilavi,"salata, meyve, gazoz"
2024-03-06,carsamba,aksam yemegi,sehriye corba,kiymali yesil mercimek,yesil mercimek yemegi,bulgur pilavi,"salata, ayran, soda"
2024-03-07,persembe,ogle yemegi,mercimek corba,et doner,zy.enginar,bulgur pilavi,"salata, ayran, meyve"
2024-03-07,persembe,aksam yemegi,toyga corba,cordon bleu,harput kofte,"soslu spagetti, melek pilavi","meyve, tabule, kazandibi"
2024-03-08,cuma,ogle yemegi,domates corba,eksili kofte,karnibahar yemegi,"soslu makarna, su boregi","komposto, mevsim salata, meyve"
2024-03-08,cuma,aksam yemegi,mahluta corba,etli manti,vegan manti,"zy.barbunya, zy. orbit fasulye","limonata, hosmerim, meyve"
2024-03-09,cumartesi,ogle yemegi,yayla corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, cevizli baklava, yogurt"
2024-03-09,cumartesi,aksam yemegi,anadolu corbasi,izmir kofte,zy. bruksel lahanasi,yesil mercimekli bulgur pilavi,"ayran, mevsim salata, meyve"
2024-03-10,pazar,ogle yemegi,,kiymali karnabahar,karnabahar graten,kuskus,"meyve, kadayifli muhallebi, mevsim salata"
2024-03-10,pazar,aksam yemegi,alaca corba,tepsi kebabi,zy. kereviz,bulgur pilavi,"kisir, tulumba tatlisi, soda"
2024-03-11,pazartesi,ogle yemegi,suzme mercimek corba,tavuk izgara,patatesli mantar graten,"soslu makarna, misirli pirinc pilavi","soda, roka+turp salata, meyve"
2024-03-11,pazartesi,aksam yemegi,sebze corba,etli kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, zerde, yogurt"
2024-03-12,sali,ogle yemegi,saray corba,etli taze fasulye,zy. taze fasulye,bulgur pilavi,"sutlac, mevsim salata, komposto"
2024-03-12,sali,aksam yemegi,antep corba,kekikli misket kofte,harput kofte,"eriste, gokkusagi pilavi","ayran, mor salata, meyve"
2024-03-13,carsamba,ogle yemegi,cennet corba,kiymali ispanak,ispanak yemegi,"patatesli gul boregi, soslu spagetti","supangle, meyve, mevsim salata"
2024-03-13,carsamba,aksam yemegi,mantar corba,pilic topkapi,zy.enginar,"zy. orbit fasulye, saksuka","ayran, cevizli baklava, mor salata"
2024-03-14,persembe,ogle yemegi,tarhana corba,etli barbunya,sicak barbunya,meyhane pilavi,"tursu, mevsim salata, gazoz"
2024-03-14,persembe,aksam yemegi,tutmac corba,macar gulas,falafel,"spagetti makarna, zerdecalli pirinc pilavi","meyve, soda, piyaz"
2024-03-15,cuma,ogle yemegi,sehriye corba,ciftlik kebabi,mucver,"mercimekli bulgur pilavi, zerdecalli pirinc pilavi","yogurt, meyve, soda"
2024-03-15,cuma,aksam yemegi,safak corba,mantar soslu tavuk sinitzel,mantar sote,"soslu makarna, bulgur pilavi","hayrabolu tatlisi, gazoz, meyve"
2024-03-16,cumartesi,ogle yemegi,ezogelin corba,kiymali yesil mercimek,yesil mercimek yemegi,"su boregi, eriste","meyve, mevsim salata, meyve suyu"
2024-03-16,cumartesi,aksam yemegi,naneli yogurt corba,salcali firin kofte,harput kofte,"spagetti makarna, melek pilavi","fanta, mevsim salata, tulumba tatlisi"
2024-03-17,pazar,ogle yemegi,mahluta corba,karisik musakka,nohutlu kabak,bulgur pilavi,"cacik, mor salata, baklava"
2024-03-17,pazar,aksam yemegi,domates corba,tavuk baget haslama,sebze buketi,"soslu makarna, kus uzumlu pirinc pilavi","limonata, meyve, cig kofte"
2024-03-18,pazartesi,ogle yemegi,mercimek corba,sucuklu kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, meyve, ayran"
2024-03-18,pazartesi,aksam yemegi,antep corba,et sote,etsiz barbunya,"ic pilavi, eriste makarna","yogut, soda, mevsim salata"
2024-03-19,sali,ogle yemegi,sehriye corba,etli turlu,sebze turlu,kuskus,"ayran, cilekli puding, mevsim salata"
2024-03-19,sali,aksam yemegi,ezogelin corba,kori soslu pilic sote,karnibahar yemegi,"misirli pirinc pilavi, bulgur pilavi","gazoz, havuc tarator, meyve"
2024-03-20,carsamba,ogle yemegi,mantar corba,ispanakli tavuk sarma,saksuka,"bolonez soslu makarna, garniturlu pirinc pilavi","limonata, mozaik pasta, salata"
2024-03-20,carsamba,aksam yemegi,cesmi nigar corba,kabak begendili kebap,sebze graten,"su boregi, nohutlu pirinc pilavi","meyve, mevsim salata, cevizli kadayif"
2024-03-21,persembe,ogle yemegi,antep corba,etli manti,vegan manti,"saksuka, zy.barbunya","fanta, kisir, meyve"
2024-03-21,persembe,aksam yemegi,tarhana corba,sulu kofte,patlican yemegi,soslu makarna,"meyve, mevsim salata, pembe sultan"
2024-03-22,cuma,ogle yemegi,krutonlu domates corba,tavuk kok kanat,yesil mercimek yemegi,"arpa sehriye pilavi, melek pilavi","piyaz, soda, meyve"
2024-03-22,cuma,aksam yemegi,mahluta corba,dana haslama,sebze yemegi,eriste,"mevsim salata, yogurt, meyve"
2024-03-23,cumartesi,ogle yemegi,tutmac corba,pizza,mucver,"soslu spagetti, zy.orbit fasulye","gazoz, mevsim salata, trilece"
2024-03-23,cumartesi,aksam yemegi,bugday corba,cin usulu  tavuk sote,pirasa yemegi,"melek pilavi, sebzeli bulgur pilavi","ayran, meyve, mor salata"
2024-03-24,pazar,ogle yemegi,cennet corba,eksili kofte,mantar sote,"bulgur pilavi, melek pilavi","ayran, yesil salata, kazandibi"
2024-03-24,pazar,aksam yemegi,sehriye corba,tas kebabi,nohutlu kabak,bulgur pilavi,"mevsim salata, yogurt, meyve"
2024-03-25,pazartesi,ogle yemegi,yayla corba,etli bezelye,bezelye yemegi,"bulgur pilavi, misirli pirinc pilavi","meyve, mevsim salata, limonata"
2024-03-25,pazartesi,aksam yemegi,arpa sehriyeli corba,tavuk kulbasti,falafel,"eriste, meyhane pilavi","gazoz, mevsim salata, meyve"
2024-03-26,sali,ogle yemegi,domates corba,misket kofte,zy.enginar,soslu makarna,"turp salata, meyve, ayran"
2024-03-26,sali,aksam yemegi,naneli yogurt corba,etli nohut,etsiz nohut,bulgur pilavi,"mevsim salata, portakalli gazoz, gullac"
2024-03-27,carsamba,ogle yemegi,domates corba,pilic portekiz,falafel,"garniturlu pirinc pilavi, kori soslu makarna","zerde, ayran, mercimek kofte"
2024-03-27,carsamba,aksam yemegi,tarhana corba,hasanpasa kofte,patates graten,"nohutlu pilav, eriste","ayran, meyve, mevsim salata"
2024-03-28,persembe,ogle yemegi,sifa corba,kiymali yesil mercimek,yesil mercimek yemegi,"gul boregi, soslu makarna","meyve, mevsim salata, mozaik pasta"
2024-03-28,persembe,aksam yemegi,suzme mercimek corba,pilic topkapi,harput kofte,"zy. orbit fasulye, karisik kizartma","tulumba tatlisi, mevsim salata, meyve"
2024-03-29,cuma,ogle yemegi,koy corbasi,kibrit kebabi,zy. bruksel lahanasi,bulgur pilavi,"mevsim salata, cevizli kadayif, soda"
2024-03-29,cuma,aksam yemegi,andaloz corba,etli karisik dolma,zy.dolma,"soslu makarna, su boregi","mevsim salata, meyve, limonata"
2024-03-30,cumartesi,ogle yemegi,mantar corba,izmir kofte,harput kofte,soslu spagetti,"ayran, mevsim salata, meyve"
2024-03-30,cumartesi,aksam yemegi,antep corba,etli nohut,etsiz nohut,"bulgur pilavi, melek pilavi","tursu, fanta, gullac"
2024-03-31,pazar,ogle yemegi,tarhana corba,etli patates oturtma,patates yemegi,peynirli makarna,"meyve suyu, mevsim salata, hosmerim"
2024-03-31,pazar,aksam yemegi,alaca corba,alinazik kebabi,zy.brokoli,bulgur pilavi,"fanta, mercimek kofte, meyve"
2024-04-01,pazartesi,ogle yemegi,mercimek corba,sucuklu kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, meyve, soda"
2024-04-01,pazartesi,aksam yemegi,toyga corba,cin usulu  tavuk sote,mucver,"penne makarna, melek pilavi","gazoz, supangle, salata"
2024-04-02,sali,ogle yemegi,ezogelin corba,izmir kofte,harput kofte,"firin makarna, zerdecalli pirinc pilavi","coleslaw salata, meyve, soda"
2024-04-02,sali,aksam yemegi,sehriye corba,orman kebabi,bezelye yemegi,"meyhane pilavi, misirli pirinc pilavi","limonata, salata, gullac"
2024-04-03,carsamba,ogle yemegi,mercimek corba,tavuk doner,zy. orbit fasulye,bulgur pilavi,"ayran, mevsim salata, meyve"
2024-04-03,carsamba,aksam yemegi,alaca corba,etli guvec,saksuka,"mercimekli bulgur pilavi, melek pilavi","salata, meyve, ayran"
2024-04-04,persembe,ogle yemegi,domates corba,eksili kofte,falafel,"bulgur pilavi, su boregi","salata, meyve, gazoz"
2024-04-04,persembe,aksam yemegi,antep corba,etli nohut,etsiz nohut,eristeli bulgur pilavi,"tursu, ayran, meyve"
